order_id,invoice_id,customer_id,order_amount,order_date,currency,order_status
ORD00001,INV00001,CUST0164,5655.42,2026-04-17 19:27:32,INR,paid
ORD00002,INV00002,CUST0063,11238.22,2026-02-09 19:19:27,INR,paid
ORD00003,INV00003,CUST0174,37059.32,2026-07-31 19:11:04,INR,paid
ORD00004,INV00004,CUST0023,29565.58,2026-01-13 08:14:09,INR,paid
ORD00005,INV00005,CUST0008,4775.39,2026-04-01 08:33:24,INR,paid
ORD00006,INV00006,CUST0130,30140.73,2026-08-06 23:10:59,INR,paid
ORD00007,INV00007,CUST0051,35829.38,2026-07-31 15:13:21,INR,paid
ORD00008,INV00008,CUST0108,11099.99,2026-08-17 20:21:15,INR,paid
ORD00009,INV00009,CUST0072,40490.58,2026-01-03 12:34:22,INR,paid
ORD00010,INV00010,CUST0195,40310.38,2026-06-14 03:03:06,INR,paid
ORD00011,INV00011,CUST0088,13965.78,2026-03-25 14:52:10,INR,paid
ORD00012,INV00012,CUST0246,38198.36,2026-02-09 16:40:07,INR,paid
ORD00013,INV00013,CUST0024,19058.37,2026-05-20 09:55:49,INR,paid
ORD00014,INV00014,CUST0217,17263.39,2026-04-13 17:30:47,INR,paid
ORD00015,INV00015,CUST0207,2268.18,2026-06-28 10:09:00,INR,paid
ORD00016,INV00016,CUST0138,6328.83,2026-05-28 00:11:46,INR,paid
ORD00017,INV00017,CUST0021,27646.83,2026-08-29 05:01:18,INR,paid
ORD00018,INV00018,CUST0227,43099.17,2026-08-13 05:18:43,INR,paid
ORD00019,INV00019,CUST0050,35258.13,2026-01-18 19:06:51,INR,paid
ORD00020,INV00020,CUST0170,11472.12,2026-04-23 09:17:28,INR,paid
ORD00021,INV00021,CUST0021,42780.35,2026-02-09 05:24:05,INR,paid
ORD00022,INV00022,CUST0098,13970.88,2026-05-22 16:28:56,INR,paid
ORD00023,INV00023,CUST0042,18572.03,2026-03-23 08:44:49,INR,paid
ORD00024,INV00024,CUST0172,13422.19,2026-01-28 17:31:10,INR,paid
ORD00025,INV00025,CUST0156,31785.42,2026-07-27 10:32:40,INR,paid
ORD00026,INV00026,CUST0187,12316.07,2026-06-29 12:34:38,INR,paid
ORD00027,INV00027,CUST0098,13570.4,2026-08-05 07:08:52,INR,paid
ORD00028,INV00028,CUST0057,34262.25,2026-01-22 17:22:46,INR,paid
ORD00029,INV00029,CUST0059,41107.95,2026-05-03 12:14:07,INR,paid
ORD00030,INV00030,CUST0103,13460.27,2026-03-23 22:30:09,INR,paid
ORD00031,INV00031,CUST0234,47151.19,2026-05-03 05:00:37,INR,paid
ORD00032,INV00032,CUST0055,32806.39,2026-06-03 15:33:23,INR,paid
ORD00033,INV00033,CUST0227,45735.92,2026-06-28 04:48:33,INR,paid
ORD00034,INV00034,CUST0037,13317.52,2026-04-06 18:44:05,INR,paid
ORD00035,INV00035,CUST0191,28112.27,2026-04-13 00:55:45,INR,paid
ORD00036,INV00036,CUST0192,29270.84,2026-08-15 14:55:15,INR,paid
ORD00037,INV00037,CUST0103,18163.62,2026-02-23 17:20:43,INR,paid
ORD00038,INV00038,CUST0131,24726.44,2026-01-19 07:09:23,INR,paid
ORD00039,INV00039,CUST0221,5571.49,2026-03-04 03:08:25,INR,paid
ORD00040,INV00040,CUST0203,34056.01,2026-08-20 14:56:06,INR,paid
ORD00041,INV00041,CUST0017,19299.89,2026-08-20 10:04:57,INR,paid
ORD00042,INV00042,CUST0120,26502.81,2026-08-03 20:26:20,INR,paid
ORD00043,INV00043,CUST0221,47127.3,2026-02-14 11:41:58,INR,paid
ORD00044,INV00044,CUST0175,44250.94,2026-04-14 14:59:27,INR,paid
ORD00045,INV00045,CUST0197,32083.99,2026-02-13 07:44:29,INR,paid
ORD00046,INV00046,CUST0076,21794.79,2026-06-26 05:00:41,INR,paid
ORD00047,INV00047,CUST0001,47695.41,2026-04-13 06:57:49,INR,paid
ORD00048,INV00048,CUST0249,25079.25,2026-03-11 09:09:22,INR,paid
ORD00049,INV00049,CUST0130,45640.13,2026-04-26 21:42:25,INR,paid
ORD00050,INV00050,CUST0216,31983.58,2026-08-25 12:00:49,INR,paid
ORD00051,INV00051,CUST0051,7726.68,2026-03-04 17:44:46,INR,paid
ORD00052,INV00052,CUST0139,47679.64,2026-07-25 23:15:16,INR,paid
ORD00053,INV00053,CUST0236,128.54,2026-05-06 21:21:12,INR,paid
ORD00054,INV00054,CUST0126,1071.89,2026-05-21 23:13:33,INR,paid
ORD00055,INV00055,CUST0225,49267.54,2026-04-30 10:14:21,INR,paid
ORD00056,INV00056,CUST0062,2990.47,2026-08-09 08:08:59,INR,paid
ORD00057,INV00057,CUST0243,4029.98,2026-07-08 17:45:33,INR,paid
ORD00058,INV00058,CUST0209,3553.7,2026-07-26 21:10:52,INR,paid
ORD00059,INV00059,CUST0197,6375.45,2026-07-04 13:57:10,INR,paid
ORD00060,INV00060,CUST0243,27535.2,2026-04-13 22:30:24,INR,paid
ORD00061,INV00061,CUST0136,43634.41,2026-06-14 07:55:53,INR,paid
ORD00062,INV00062,CUST0247,10668.73,2026-07-29 10:36:13,INR,paid
ORD00063,INV00063,CUST0194,36523.56,2026-03-20 02:51:49,INR,paid
ORD00064,INV00064,CUST0183,15654.64,2026-05-26 00:31:52,INR,paid
ORD00065,INV00065,CUST0113,44990.74,2026-06-25 08:09:21,INR,paid
ORD00066,INV00066,CUST0031,12470.49,2026-01-25 20:45:52,INR,paid
ORD00067,INV00067,CUST0087,1149.61,2026-08-04 02:55:22,INR,paid
ORD00068,INV00068,CUST0059,29463.16,2026-01-03 19:01:24,INR,paid
ORD00069,INV00069,CUST0019,35421.26,2026-01-23 20:44:35,INR,paid
ORD00070,INV00070,CUST0059,3463.28,2026-01-13 04:47:23,INR,paid
ORD00071,INV00071,CUST0221,16588.38,2026-07-19 16:16:56,INR,paid
ORD00072,INV00072,CUST0061,13996.02,2026-07-08 12:23:27,INR,paid
ORD00073,INV00073,CUST0055,27007.77,2026-08-10 18:30:26,INR,paid
ORD00074,INV00074,CUST0148,23686.28,2026-07-03 16:25:38,INR,paid
ORD00075,INV00075,CUST0207,20412.29,2026-02-06 15:10:48,INR,paid
ORD00076,INV00076,CUST0025,32983.24,2026-05-18 14:17:33,INR,paid
ORD00077,INV00077,CUST0109,20614.0,2026-01-22 00:54:43,INR,paid
ORD00078,INV00078,CUST0173,32707.43,2026-02-08 05:19:15,INR,paid
ORD00079,INV00079,CUST0016,20190.8,2026-05-12 18:31:46,INR,paid
ORD00080,INV00080,CUST0205,43097.46,2026-04-07 13:38:42,INR,paid
ORD00081,INV00081,CUST0050,9591.42,2026-06-24 05:22:52,INR,paid
ORD00082,INV00082,CUST0036,21151.89,2026-04-19 04:13:44,INR,paid
ORD00083,INV00083,CUST0119,12565.34,2026-01-30 06:38:17,INR,paid
ORD00084,INV00084,CUST0114,40420.31,2026-08-02 17:24:13,INR,paid
ORD00085,INV00085,CUST0026,2624.36,2026-07-29 22:38:41,INR,paid
ORD00086,INV00086,CUST0215,836.42,2026-02-06 05:16:19,INR,paid
ORD00087,INV00087,CUST0238,37702.92,2026-04-02 19:12:59,INR,paid
ORD00088,INV00088,CUST0043,20380.06,2026-07-06 22:35:08,INR,paid
ORD00089,INV00089,CUST0055,43246.05,2026-01-23 18:31:17,INR,paid
ORD00090,INV00090,CUST0043,19010.76,2026-06-01 14:59:40,INR,paid
