payment_id,order_id,customer_id,payment_amount,payment_status,payment_date,payment_method
pay_bdd640fb-0667-4ad1-9c80-317fa3b1799d,ORD00001,CUST0164,5655.42,captured,2026-04-17 19:27:32,wallet
pay_23b8c1e9-3924-46de-beb1-3b9046685257,ORD00002,CUST0063,11238.22,captured,2026-02-09 19:19:27,card
pay_bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,ORD00003,CUST0174,37059.32,captured,2026-07-31 19:11:04,netbanking
pay_972a8469-1641-4f82-8b9d-2434e465e150,ORD00004,CUST0023,29565.58,captured,2026-01-13 08:14:09,wallet
pay_17fc695a-07a0-4a6e-8822-e8f36c031199,ORD00005,CUST0008,4775.39,captured,2026-04-01 08:33:24,netbanking
pay_9a1de644-815e-46d1-bb8f-aa1837f8a88b,ORD00006,CUST0130,30140.73,captured,2026-08-06 23:10:59,card
pay_b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,ORD00007,CUST0051,35829.38,captured,2026-07-31 15:13:21,upi
pay_6b65a6a4-8b81-48f6-b38a-088ca65ed389,ORD00008,CUST0108,11099.99,captured,2026-08-17 20:21:15,wallet
pay_47378190-96da-4dac-b2ff-5d2a386ecbe0,ORD00009,CUST0072,40490.58,captured,2026-01-03 12:34:22,card
pay_c241330b-01a9-471f-9e8a-774bcf36d58b,ORD00010,CUST0195,40310.38,captured,2026-06-14 03:03:06,card
pay_6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,ORD00011,CUST0088,13965.78,captured,2026-03-25 14:52:10,upi
pay_371ecd7b-27cd-4130-8722-9389571aa876,ORD00012,CUST0246,38198.36,captured,2026-02-09 16:40:07,netbanking
pay_1a2a73ed-562b-4f79-8374-59eef50bea63,ORD00013,CUST0024,19058.37,captured,2026-05-20 09:55:49,upi
pay_5be6128e-18c2-4797-a142-ea7d17be3111,ORD00014,CUST0217,17263.39,captured,2026-04-13 17:30:47,upi
pay_43b7a3a6-9a8d-4a03-980d-7b71d8f56413,ORD00015,CUST0207,2268.18,captured,2026-06-28 10:09:00,netbanking
pay_759cde66-bacf-43d0-8b1f-9163ce9ff57f,ORD00016,CUST0138,6328.83,captured,2026-05-28 00:11:46,netbanking
pay_ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,ORD00017,CUST0021,27646.83,captured,2026-08-29 05:01:18,netbanking
pay_4b0dbb41-8d52-48f1-942c-3fe860e7a113,ORD00018,CUST0227,43099.17,captured,2026-08-13 05:18:43,card
pay_e2acf72f-9e57-4f7a-a0ee-89aed453dd32,ORD00019,CUST0050,35258.13,captured,2026-01-18 19:06:51,card
pay_3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,ORD00020,CUST0170,11472.12,captured,2026-04-23 09:17:28,wallet
pay_a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,ORD00021,CUST0021,42780.35,captured,2026-02-09 05:24:05,wallet
pay_fc377a4c-4a15-444d-85e7-ce8a3a578a8e,ORD00022,CUST0098,13970.88,captured,2026-05-22 16:28:56,upi
pay_ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,ORD00023,CUST0042,18572.03,captured,2026-03-23 08:44:49,upi
pay_7412b293-4729-4739-a14f-f3d719db3ad0,ORD00024,CUST0172,13422.19,captured,2026-01-28 17:31:10,wallet
pay_29a3b2e9-5d65-4441-9588-42dea2bc372f,ORD00025,CUST0156,31785.42,captured,2026-07-27 10:32:40,upi
pay_ab9099a4-35a2-40ae-9af3-05535ec42e08,ORD00026,CUST0187,12316.07,captured,2026-06-29 12:34:38,netbanking
pay_aefcfad8-efc8-4849-b3aa-7efe4458a885,ORD00027,CUST0098,13570.4,captured,2026-08-05 07:08:52,card
pay_a28defe3-9bf0-4273-9247-6f57a5e5a5ab,ORD00028,CUST0057,34262.25,captured,2026-01-22 17:22:46,wallet
pay_3eabedcb-baa8-4dd4-88bd-64072bcfbe01,ORD00029,CUST0059,41107.95,captured,2026-05-03 12:14:07,card
pay_451b4cf3-6123-4df7-b656-af7229d4beef,ORD00030,CUST0103,13460.27,captured,2026-03-23 22:30:09,wallet
pay_b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,ORD00031,CUST0234,47151.19,captured,2026-05-03 05:00:37,card
pay_5304317f-af42-412f-b838-b3268e944239,ORD00032,CUST0055,32806.39,captured,2026-06-03 15:33:23,wallet
pay_0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,ORD00033,CUST0227,45735.92,captured,2026-06-28 04:48:33,card
pay_ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,ORD00034,CUST0037,13317.52,captured,2026-04-06 18:44:05,netbanking
pay_10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,ORD00035,CUST0191,28112.27,captured,2026-04-13 00:55:45,wallet
pay_9132b63e-f162-47e4-a9c3-49e03602f8ac,ORD00036,CUST0192,29270.84,captured,2026-08-15 14:55:15,wallet
pay_366eb16f-508e-4ad7-b7c9-3acfe059a0ee,ORD00037,CUST0103,18163.62,captured,2026-02-23 17:20:43,wallet
pay_e27a984d-6548-41d0-bfcd-9eb1a7cad415,ORD00038,CUST0131,24726.44,captured,2026-01-19 07:09:23,netbanking
pay_24933b83-7577-40a9-a491-f0b2ea1fca65,ORD00039,CUST0221,5571.49,captured,2026-03-04 03:08:25,card
pay_beb79919-3f22-4af8-a3be-d01d43cf2fde,ORD00040,CUST0203,34056.01,captured,2026-08-20 14:56:06,wallet
pay_bf3c4c06-4343-48bc-89fa-6a688fb5d27b,ORD00041,CUST0017,19299.89,captured,2026-08-20 10:04:57,card
pay_956269f0-e5d7-4875-adad-d6c795a76d79,ORD00042,CUST0120,26502.81,captured,2026-08-03 20:26:20,netbanking
pay_ff50bde4-3825-47b8-9cab-cc97663f1c97,ORD00043,CUST0221,47127.3,captured,2026-02-14 11:41:58,upi
pay_7e570ddf-8270-40a8-a369-b584ff5e9ff0,ORD00044,CUST0175,44250.94,captured,2026-04-14 14:59:27,wallet
pay_dc713d96-0c0f-4195-817a-f08a1745d6d8,ORD00045,CUST0197,32083.99,captured,2026-02-13 07:44:29,netbanking
pay_28f49481-a0a0-4dc4-a720-9bdf1c11f735,ORD00046,CUST0076,21794.79,captured,2026-06-26 05:00:41,card
pay_98ae4334-6c12-4ce8-ae34-0454cac5b68c,ORD00047,CUST0001,47695.41,captured,2026-04-13 06:57:49,wallet
pay_988c24c9-61b1-4d22-a280-1c4510435a10,ORD00048,CUST0249,25079.25,captured,2026-03-11 09:09:22,card
pay_405cacec-8774-49a9-b7d2-1e02ff01cf99,ORD00049,CUST0130,45640.13,captured,2026-04-26 21:42:25,upi
pay_f143262f-dc5c-4eed-8da0-365bf89897b9,ORD00050,CUST0216,31983.58,captured,2026-08-25 12:00:49,wallet
pay_1d53434b-b881-49b9-ae27-0da702f06b90,ORD00051,CUST0051,7726.68,captured,2026-03-04 17:44:46,wallet
pay_c0398710-8976-4334-a281-7efdae849217,ORD00052,CUST0139,47679.64,captured,2026-07-25 23:15:16,card
pay_5715bd6f-a416-4293-84c2-e2e3444ea7c8,ORD00053,CUST0236,128.54,captured,2026-05-06 21:21:12,wallet
pay_287d06ca-6f4c-469a-8b22-d3081c8eaee9,ORD00054,CUST0126,1071.89,captured,2026-05-21 23:13:33,netbanking
pay_b8db0672-f42d-47cc-80d4-af5974273ca3,ORD00055,CUST0225,49267.54,captured,2026-04-30 10:14:21,netbanking
pay_f8cda88b-436d-46e2-b83c-fe0be037e5ed,ORD00056,CUST0062,2990.47,captured,2026-08-09 08:08:59,upi
pay_81f76d1c-2dbc-4134-830f-f46e8026695f,ORD00057,CUST0243,4029.98,captured,2026-07-08 17:45:33,netbanking
pay_a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,ORD00058,CUST0209,3553.7,captured,2026-07-26 21:10:52,upi
pay_81f631d4-a392-41a7-9777-a4774c66e0a8,ORD00059,CUST0197,6375.45,captured,2026-07-04 13:57:10,card
pay_5fb8d16c-2720-497d-b2eb-d6899be578c7,ORD00060,CUST0243,27535.2,captured,2026-04-13 22:30:24,card
pay_f4188f3f-8a14-4e62-a95b-4715c333e861,ORD00061,CUST0136,43634.41,captured,2026-06-14 07:55:53,upi
pay_eb2263dd-87c5-421e-ac24-a3c5c754108f,ORD00062,CUST0247,10668.73,captured,2026-07-29 10:36:13,netbanking
pay_7d154385-52fb-443b-9954-6eb400257ad1,ORD00063,CUST0194,36523.56,captured,2026-03-20 02:51:49,netbanking
pay_5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,ORD00064,CUST0183,15654.64,captured,2026-05-26 00:31:52,upi
pay_ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,ORD00065,CUST0113,44990.74,captured,2026-06-25 08:09:21,upi
pay_3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,ORD00066,CUST0031,12470.49,captured,2026-01-25 20:45:52,card
pay_14296c07-f26b-4776-913e-4de2e0c53cb8,ORD00067,CUST0087,1149.61,captured,2026-08-04 02:55:22,upi
pay_d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,ORD00068,CUST0059,29463.16,captured,2026-01-03 19:01:24,netbanking
pay_885f6e66-c2b6-42c5-ba5d-310011b7e948,ORD00069,CUST0019,35421.26,captured,2026-01-23 20:44:35,upi
pay_a8e56e0c-20de-435d-a031-d750c40db9b4,ORD00070,CUST0059,3463.28,captured,2026-01-13 04:47:23,upi
pay_2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,ORD00071,CUST0221,16588.38,captured,2026-07-19 16:16:56,upi
pay_9b49bd26-df57-459a-8715-a10343dac043,ORD00072,CUST0061,13996.02,captured,2026-07-08 12:23:27,card
pay_edcd465e-3638-4821-b6e0-7cc06c52c49f,ORD00073,CUST0055,27007.77,captured,2026-08-10 18:30:26,upi
pay_b09b2a5c-badc-432a-8159-0f538a0f4efb,ORD00074,CUST0148,23686.28,captured,2026-07-03 16:25:38,wallet
pay_66245bfa-4fcc-439a-b683-d2e6337ea2df,ORD00075,CUST0207,20412.29,captured,2026-02-06 15:10:48,wallet
pay_5f987c71-a65e-488e-abf3-ad39fec21bbe,ORD00076,CUST0025,32983.24,captured,2026-05-18 14:17:33,wallet
pay_7394988f-847f-49b4-a64d-1bcb702753a1,ORD00077,CUST0109,20614.0,captured,2026-01-22 00:54:43,netbanking
pay_1064005c-3985-43cf-bf76-be1d1efa2197,ORD00078,CUST0173,32707.43,captured,2026-02-08 05:19:15,netbanking
pay_8dcdcd03-969b-4662-8562-8059568cc69b,ORD00079,CUST0016,20190.8,captured,2026-05-12 18:31:46,upi
pay_01d74256-3860-4ab6-96a4-02f23ae8cc93,ORD00080,CUST0205,43097.46,captured,2026-04-07 13:38:42,wallet
pay_0f1259e0-a18f-46b6-b535-106e122c9a56,ORD00081,CUST0050,9591.42,captured,2026-06-24 05:22:52,card
