payment_id,order_id,settlement_id,status,exception_type,payment_amount,settlement_amount,difference_amount,confidence,explanation
pay_bdd640fb-0667-4ad1-9c80-317fa3b1799d,ORD00001,SET_5e09a9ee-af88-4dec-bb1e-143b196f4dfa,MATCHED,none,5655.42,5655.42,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_23b8c1e9-3924-46de-beb1-3b9046685257,ORD00002,SET_a5135ea0-fa53-434d-a6d5-901d8b621d41,MATCHED,none,11238.22,11238.22,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,ORD00003,SET_46a02a9b-65ec-4acd-8f80-35f55bd20c98,MATCHED,none,37059.32,37059.32,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_972a8469-1641-4f82-8b9d-2434e465e150,ORD00004,SET_f2f25eef-1f45-4bfd-b7dc-67e030974b2b,MATCHED,none,29565.58,29565.58,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_17fc695a-07a0-4a6e-8822-e8f36c031199,ORD00005,SET_1777e8cb-7468-4b98-92fe-2fded918b3e5,MATCHED,none,4775.39,4775.39,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_9a1de644-815e-46d1-bb8f-aa1837f8a88b,ORD00006,SET_a3b5cece-a446-4e72-b64c-911aa9ab364a,MATCHED,none,30140.73,30140.73,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,ORD00007,"SET_0cf2b69b-0577-4ea9-b899-924698de8ebb, SET_d4bf7a4b-25b8-442f-836b-15c7e7c225da",EXCEPTION,duplicate_settlement,35829.38,,,1.0,"Multiple settlements found: SET_0cf2b69b-0577-4ea9-b899-924698de8ebb, SET_d4bf7a4b-25b8-442f-836b-15c7e7c225da"
pay_6b65a6a4-8b81-48f6-b38a-088ca65ed389,ORD00008,,EXCEPTION,missing_settlement,11099.99,,,1.0,No settlement record was found for this payment.
pay_47378190-96da-4dac-b2ff-5d2a386ecbe0,ORD00009,SET_b5a5f8e6-b639-4f04-a852-4385d9f2dd0d,EXCEPTION,amount_mismatch,40490.58,26753.34,13737.24,1.0,Payment amount and settlement gross amount do not match.
pay_c241330b-01a9-471f-9e8a-774bcf36d58b,ORD00010,,EXCEPTION,missing_settlement,40310.38,,,1.0,No settlement record was found for this payment.
pay_6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,ORD00011,SET_d0243d72-3748-467f-961d-33ba350843f0,MATCHED,none,13965.78,13965.78,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_371ecd7b-27cd-4130-8722-9389571aa876,ORD00012,SET_c63d04ee-541c-4a86-bba5-cd2fdea45c19,MATCHED,none,38198.36,38198.36,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_1a2a73ed-562b-4f79-8374-59eef50bea63,ORD00013,SET_989240ac-e689-43a9-89e4-8e8c25c61c45,MATCHED,none,19058.37,19058.37,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_5be6128e-18c2-4797-a142-ea7d17be3111,ORD00014,SET_fbe94499-dbc0-40fd-86fb-7bf300b9d4a3,MATCHED,none,17263.39,17263.39,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_43b7a3a6-9a8d-4a03-980d-7b71d8f56413,ORD00015,SET_8a4b8f7c-2147-4a15-bcce-96f6250a4578,MATCHED,none,2268.18,2268.18,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_759cde66-bacf-43d0-8b1f-9163ce9ff57f,ORD00016,SET_1c24220e-2cab-47e7-8c6b-66e5402adf9c,MATCHED,none,6328.83,6328.83,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,ORD00017,SET_21bddb41-0699-4731-9dcf-8766a93b12cd,MATCHED,none,27646.83,27646.83,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_4b0dbb41-8d52-48f1-942c-3fe860e7a113,ORD00018,SET_c9d6a63b-ca3c-4f5f-9bb5-c40c03cde2e3,MATCHED,none,43099.17,43099.17,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_e2acf72f-9e57-4f7a-a0ee-89aed453dd32,ORD00019,"SET_040a3aae-52e2-4fd9-96bf-10ab3ce915e7, SET_DUP_8570b59f-a903-4e67-bc56-8b5324acb722",EXCEPTION,duplicate_settlement,35258.13,,,1.0,"Multiple settlements found: SET_040a3aae-52e2-4fd9-96bf-10ab3ce915e7, SET_DUP_8570b59f-a903-4e67-bc56-8b5324acb722"
pay_3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,ORD00020,SET_20733f6d-0d6a-45b3-83ef-20162c9b662e,MATCHED,none,11472.12,11472.12,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,ORD00021,SET_1d181ee9-86ad-4a8c-abc4-123ebde13c1b,MATCHED,none,42780.35,42780.35,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_fc377a4c-4a15-444d-85e7-ce8a3a578a8e,ORD00022,SET_72c22a16-79eb-4168-9045-56e5bee3eb79,MATCHED,none,13970.88,13970.88,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,ORD00023,SET_97fa7f04-8363-4007-9cae-9610c72c1fe3,MATCHED,none,18572.03,18572.03,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_7412b293-4729-4739-a14f-f3d719db3ad0,ORD00024,,EXCEPTION,missing_settlement,13422.19,,,1.0,No settlement record was found for this payment.
pay_29a3b2e9-5d65-4441-9588-42dea2bc372f,ORD00025,SET_ba2c98ce-0b19-488e-9d77-a45ef206c269,MATCHED,none,31785.42,31785.42,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_ab9099a4-35a2-40ae-9af3-05535ec42e08,ORD00026,SET_a8addf36-ddf2-45eb-a8a3-f341c8819065,MATCHED,none,12316.07,12316.07,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
