settlement_id,payment_id,merchant_reference,customer_id,gross_amount,fee,tax,net_amount,settlement_date,settlement_status
SET_5e09a9ee-af88-4dec-bb1e-143b196f4dfa,pay_bdd640fb-0667-4ad1-9c80-317fa3b1799d,ORD00001,CUST0164,5655.42,113.11,20.36,5521.95,2026-04-19 19:27:32,settled
SET_a5135ea0-fa53-434d-a6d5-901d8b621d41,pay_23b8c1e9-3924-46de-beb1-3b9046685257,ORD00002,CUST0063,11238.22,224.76,40.46,10973.0,2026-02-10 19:19:27,settled
SET_46a02a9b-65ec-4acd-8f80-35f55bd20c98,pay_bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,ORD00003,CUST0174,37059.32,741.19,133.41,36184.72,2026-08-01 19:11:04,settled
SET_f2f25eef-1f45-4bfd-b7dc-67e030974b2b,pay_972a8469-1641-4f82-8b9d-2434e465e150,ORD00004,CUST0023,29565.58,591.31,106.44,28867.83,2026-01-15 08:14:09,settled
SET_1777e8cb-7468-4b98-92fe-2fded918b3e5,pay_17fc695a-07a0-4a6e-8822-e8f36c031199,ORD00005,CUST0008,4775.39,95.51,17.19,4512.69,2026-04-04 08:33:24,settled
SET_a3b5cece-a446-4e72-b64c-911aa9ab364a,pay_9a1de644-815e-46d1-bb8f-aa1837f8a88b,ORD00006,CUST0130,30140.73,602.81,108.51,29429.41,2026-08-08 23:10:59,settled
SET_0cf2b69b-0577-4ea9-b899-924698de8ebb,pay_b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,ORD00007,CUST0051,35829.38,716.59,128.99,34983.8,2026-08-01 15:13:21,settled
SET_fd235def-3e5a-47e3-9560-db22c96b5edb,pay_7d7ddbed-d284-476c-ab88-f83dd97dc9cd,ORD00008,CUST0108,11099.99,222.0,39.96,10838.03,2026-08-18 20:21:15,settled
SET_34885a46-9088-4eaf-8977-6598203c8c25,,ORD00009,CUST0072,40490.58,809.81,145.77,39535.0,2026-01-06 12:34:22,settled
SET_d0243d72-3748-467f-961d-33ba350843f0,pay_6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,ORD00011,CUST0088,13965.78,279.32,50.28,13636.18,2026-03-26 14:52:10,settled
SET_c63d04ee-541c-4a86-bba5-cd2fdea45c19,pay_371ecd7b-27cd-4130-8722-9389571aa876,ORD00012,CUST0246,38198.36,763.97,137.51,37296.88,2026-02-10 16:40:07,settled
SET_989240ac-e689-43a9-89e4-8e8c25c61c45,pay_1a2a73ed-562b-4f79-8374-59eef50bea63,ORD00013,CUST0024,19058.37,381.17,68.61,18608.59,2026-05-22 09:55:49,settled
SET_fbe94499-dbc0-40fd-86fb-7bf300b9d4a3,pay_5be6128e-18c2-4797-a142-ea7d17be3111,ORD00014,CUST0217,17263.39,345.27,62.15,16855.97,2026-04-15 17:30:47,settled
SET_8a4b8f7c-2147-4a15-bcce-96f6250a4578,pay_43b7a3a6-9a8d-4a03-980d-7b71d8f56413,ORD00015,CUST0207,2268.18,45.36,8.16,2214.66,2026-07-01 10:09:00,settled
SET_1c24220e-2cab-47e7-8c6b-66e5402adf9c,pay_759cde66-bacf-43d0-8b1f-9163ce9ff57f,ORD00016,CUST0138,6328.83,126.58,22.78,6179.47,2026-05-31 00:11:46,settled
SET_21bddb41-0699-4731-9dcf-8766a93b12cd,pay_ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,ORD00017,CUST0021,27646.83,552.94,99.53,26844.36,2026-09-01 05:01:18,settled
SET_c9d6a63b-ca3c-4f5f-9bb5-c40c03cde2e3,pay_4b0dbb41-8d52-48f1-942c-3fe860e7a113,ORD00018,CUST0227,43099.17,861.98,155.16,42082.03,2026-08-15 05:18:43,settled
SET_040a3aae-52e2-4fd9-96bf-10ab3ce915e7,pay_e2acf72f-9e57-4f7a-a0ee-89aed453dd32,ORD00019,CUST0050,35258.13,705.16,126.93,34426.04,2026-01-20 19:06:51,settled
SET_20733f6d-0d6a-45b3-83ef-20162c9b662e,pay_3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,ORD00020,CUST0170,11472.12,229.44,41.3,11201.38,2026-04-26 09:17:28,settled
SET_1d181ee9-86ad-4a8c-abc4-123ebde13c1b,pay_a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,ORD00021,CUST0021,42780.35,855.61,154.01,41770.73,2026-02-10 05:24:05,settled
SET_72c22a16-79eb-4168-9045-56e5bee3eb79,pay_fc377a4c-4a15-444d-85e7-ce8a3a578a8e,ORD00022,CUST0098,13970.88,279.42,50.3,13491.16,2026-05-23 16:28:56,settled
SET_97fa7f04-8363-4007-9cae-9610c72c1fe3,pay_ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,ORD00023,CUST0042,18572.03,371.44,66.86,18133.73,2026-03-25 08:44:49,settled
SET_38b77c07-80fb-4296-b3b6-a09b1beaf6ac,pay_d5385b0e-34f3-493c-8ff0-a55c6a702e2f,ORD00024,CUST0172,13422.19,268.44,48.32,13105.43,2026-01-29 17:31:10,settled
SET_ba2c98ce-0b19-488e-9d77-a45ef206c269,pay_29a3b2e9-5d65-4441-9588-42dea2bc372f,ORD00025,CUST0156,31785.42,635.71,114.43,31035.28,2026-07-29 10:32:40,settled
SET_a8addf36-ddf2-45eb-a8a3-f341c8819065,pay_ab9099a4-35a2-40ae-9af3-05535ec42e08,ORD00026,CUST0187,12316.07,246.32,44.34,12025.41,2026-07-02 12:34:38,settled
SET_a4b1f991-7542-4646-8d37-a539857dd3b3,pay_aefcfad8-efc8-4849-b3aa-7efe4458a885,ORD00027,CUST0098,13570.4,271.41,48.85,13250.14,2026-08-07 07:08:52,settled
SET_ffa361be-0f92-40e1-87f9-7d05f6ca6b8b,pay_a28defe3-9bf0-4273-9247-6f57a5e5a5ab,ORD00028,CUST0057,34262.25,685.25,123.34,33453.66,2026-01-24 17:22:46,settled
SET_6d204496-66d0-4371-98e8-8ebb7a9e8eef,pay_3eabedcb-baa8-4dd4-88bd-64072bcfbe01,ord00029,CUST0059,41107.95,822.16,147.99,40137.8,2026-05-05 12:14:07,settled
SET_b65feea9-7d82-4264-9ba3-62e7afa415e5,pay_451b4cf3-6123-4df7-b656-af7229d4beef,ORD00030,CUST0103,13460.27,269.21,48.46,13142.6,2026-03-24 22:30:09,settled
SET_e63658c9-12d0-498d-b18d-4d05e8e22743,pay_b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,ORD00031,CUST0234,47151.19,943.02,169.74,46038.43,2026-05-05 05:00:37,settled
SET_25f934bf-9bb9-4155-9275-eb9414aeaf5c,pay_5304317f-af42-412f-b838-b3268e944239,ORD 00032,CUST0055,32806.39,656.13,118.1,32032.16,2026-06-04 15:33:23,settled
SET_9fd34579-4667-42ce-a04e-178c10d08d11,pay_0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,ORD00033,CUST0227,45735.92,914.72,164.65,44656.55,2026-07-01 04:48:33,settled
SET_b64fa54a-8c61-4654-95da-75c1a21150f9,pay_ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,ORD00034,CUST0037,13317.52,266.35,47.94,13003.23,2026-04-09 18:44:05,settled
SET_98eeac2b-fe9f-4caa-a182-f347533f5a72,pay_10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,ORD00035,CUST0191,28112.27,562.25,101.2,27448.82,2026-04-14 00:55:45,settled
SET_816bcb9f-7426-4193-8b7e-6b3c87d292a6,pay_9132b63e-f162-47e4-a9c3-49e03602f8ac,ORD00036,CUST0192,29270.84,585.42,105.38,28580.04,2026-08-17 14:55:15,settled
SET_cb08587d-1963-426d-ae21-8b099afd4015,pay_366eb16f-508e-4ad7-b7c9-3acfe059a0ee,ORD00037,CUST0103,18163.62,363.27,65.39,17734.96,2026-02-26 17:20:43,settled
SET_a79b44b6-da50-4fed-9d4a-3d81b3a7d0e0,pay_e27a984d-6548-41d0-bfcd-9eb1a7cad415,ORD00038,CUST0131,24726.44,494.53,89.02,24142.89,2026-01-21 07:09:23,settled
