payment_id,expected_order_id,expected_settlement_exists,true_status,exception_type
pay_bdd640fb-0667-4ad1-9c80-317fa3b1799d,ORD00001,True,matched,none
pay_23b8c1e9-3924-46de-beb1-3b9046685257,ORD00002,True,matched,none
pay_bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,ORD00003,True,matched,none
pay_972a8469-1641-4f82-8b9d-2434e465e150,ORD00004,True,matched,none
pay_17fc695a-07a0-4a6e-8822-e8f36c031199,ORD00005,True,matched,none
pay_9a1de644-815e-46d1-bb8f-aa1837f8a88b,ORD00006,True,matched,none
pay_b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,ORD00007,True,matched,none
pay_6b65a6a4-8b81-48f6-b38a-088ca65ed389,ORD00008,True,matched,none
pay_47378190-96da-4dac-b2ff-5d2a386ecbe0,ORD00009,True,matched,none
pay_c241330b-01a9-471f-9e8a-774bcf36d58b,ORD00010,True,matched,none
pay_6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,ORD00011,True,matched,none
pay_371ecd7b-27cd-4130-8722-9389571aa876,ORD00012,True,matched,none
pay_1a2a73ed-562b-4f79-8374-59eef50bea63,ORD00013,True,matched,none
pay_5be6128e-18c2-4797-a142-ea7d17be3111,ORD00014,True,matched,none
pay_43b7a3a6-9a8d-4a03-980d-7b71d8f56413,ORD00015,True,matched,none
pay_759cde66-bacf-43d0-8b1f-9163ce9ff57f,ORD00016,True,matched,none
pay_ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,ORD00017,True,matched,none
pay_4b0dbb41-8d52-48f1-942c-3fe860e7a113,ORD00018,True,matched,none
pay_e2acf72f-9e57-4f7a-a0ee-89aed453dd32,ORD00019,True,matched,none
pay_3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,ORD00020,True,matched,none
pay_a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,ORD00021,True,exception,settlement_delay
pay_fc377a4c-4a15-444d-85e7-ce8a3a578a8e,ORD00022,True,matched,none
pay_ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,ORD00023,True,matched,none
pay_7412b293-4729-4739-a14f-f3d719db3ad0,ORD00024,True,matched,none
pay_29a3b2e9-5d65-4441-9588-42dea2bc372f,ORD00025,True,exception,missing_settlement
pay_ab9099a4-35a2-40ae-9af3-05535ec42e08,ORD00026,True,matched,none
pay_aefcfad8-efc8-4849-b3aa-7efe4458a885,ORD00027,True,matched,none
pay_a28defe3-9bf0-4273-9247-6f57a5e5a5ab,ORD00028,True,exception,settlement_delay
pay_3eabedcb-baa8-4dd4-88bd-64072bcfbe01,ORD00029,True,exception,amount_mismatch
pay_451b4cf3-6123-4df7-b656-af7229d4beef,ORD00030,True,matched,none
pay_b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,ORD00031,True,matched,none
pay_5304317f-af42-412f-b838-b3268e944239,ORD00032,True,exception,amount_mismatch
